epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6204.35,0.82224,0.79179,1.26673,0.87449,0.77584,0.86247,0.69656,0.74043,0.66703,1.20421,0.000660045,0.000660045,0.000660045
43,6354.17,0.81697,0.78603,1.26536,0.86424,0.74807,0.85791,0.68543,0.75038,0.69494,1.21241,0.000649046,0.000649046,0.000649046
44,6495.9,0.82583,0.76114,1.27435,0.87308,0.77358,0.87097,0.69583,0.7701,0.63418,1.23007,0.000638047,0.000638047,0.000638047
45,6636.88,0.80612,0.76604,1.25691,0.8411,0.75781,0.84378,0.67535,0.74419,0.7289,1.20647,0.000627048,0.000627048,0.000627048
46,6778.67,0.81345,0.76381,1.25574,0.86482,0.78589,0.86726,0.69302,0.75222,0.65097,1.19741,0.000616049,0.000616049,0.000616049
47,6919.77,0.79608,0.74888,1.2531,0.88093,0.75968,0.8689,0.70591,0.71613,0.64838,1.18347,0.000605051,0.000605051,0.000605051
48,7064.93,0.8136,0.75271,1.26089,0.89693,0.77442,0.8804,0.70804,0.72144,0.61152,1.18778,0.000594052,0.000594052,0.000594052
49,7210.49,0.78635,0.7434,1.24173,0.8529,0.79048,0.87304,0.70928,0.72009,0.63188,1.17355,0.000583053,0.000583053,0.000583053
50,7359.72,0.79014,0.71904,1.24551,0.8563,0.78641,0.86937,0.70358,0.74411,0.63078,1.19057,0.000572054,0.000572054,0.000572054
51,7500.17,0.80031,0.72053,1.25201,0.85298,0.79072,0.86826,0.69741,0.7634,0.65048,1.1936,0.000561055,0.000561055,0.000561055
52,7640.7,0.79189,0.69838,1.2461,0.87298,0.78377,0.86749,0.70414,0.73912,0.65635,1.18105,0.000550056,0.000550056,0.000550056
53,7781.32,0.77674,0.70733,1.23195,0.87676,0.79951,0.88201,0.7155,0.7132,0.58889,1.17869,0.000539057,0.000539057,0.000539057
54,7926.32,0.78058,0.70145,1.23713,0.86453,0.77322,0.8595,0.70866,0.6963,0.63546,1.17537,0.000528058,0.000528058,0.000528058
55,8066.94,0.76048,0.66535,1.21997,0.90283,0.76989,0.87472,0.71012,0.73155,0.62368,1.18247,0.000517059,0.000517059,0.000517059
56,8208.17,0.77234,0.682,1.22902,0.86804,0.79397,0.87573,0.71834,0.70209,0.59549,1.15509,0.00050606,0.00050606,0.00050606
57,8353.12,0.76371,0.65847,1.2269,0.8701,0.77004,0.85802,0.69305,0.7374,0.64526,1.16713,0.000495062,0.000495062,0.000495062
58,8492.65,0.74275,0.64784,1.20419,0.88611,0.7824,0.87158,0.71661,0.7094,0.60797,1.16223,0.000484063,0.000484063,0.000484063
59,8633.77,0.75277,0.65636,1.2157,0.87317,0.77931,0.86864,0.7137,0.7192,0.61657,1.16541,0.000473064,0.000473064,0.000473064
60,8773.83,0.7374,0.63473,1.206,0.87288,0.80059,0.86695,0.71906,0.71258,0.61386,1.16668,0.000462065,0.000462065,0.000462065
61,8920.5,0.75521,0.64842,1.21884,0.87029,0.80682,0.87485,0.72191,0.6896,0.58863,1.14611,0.000451066,0.000451066,0.000451066
62,9064.94,0.72996,0.63292,1.20152,0.87396,0.80353,0.8826,0.71827,0.74194,0.59571,1.18619,0.000440067,0.000440067,0.000440067
63,9205.54,0.73786,0.62566,1.20562,0.87687,0.81059,0.87912,0.72149,0.71776,0.59595,1.15754,0.000429068,0.000429068,0.000429068
64,9346.78,0.73519,0.61543,1.20365,0.89738,0.77772,0.86157,0.70795,0.72355,0.60923,1.17093,0.000418069,0.000418069,0.000418069
65,9487.47,0.72496,0.61006,1.19425,0.8957,0.8119,0.8787,0.72385,0.71629,0.58679,1.17155,0.00040707,0.00040707,0.00040707
66,9633.17,0.72325,0.60829,1.19331,0.89728,0.81133,0.88842,0.7296,0.71634,0.58187,1.15159,0.000396071,0.000396071,0.000396071
67,9779.53,0.71626,0.59117,1.18695,0.90444,0.81114,0.88535,0.72591,0.72023,0.57513,1.16931,0.000385073,0.000385073,0.000385073
68,9920.67,0.71721,0.58926,1.18828,0.89352,0.79939,0.8742,0.72202,0.70953,0.57211,1.15684,0.000374074,0.000374074,0.000374074
69,10060.6,0.71436,0.59014,1.18732,0.90394,0.80254,0.88124,0.72057,0.73209,0.5905,1.16811,0.000363075,0.000363075,0.000363075
70,10201.4,0.70829,0.56979,1.18033,0.86545,0.82685,0.89056,0.74254,0.68223,0.56056,1.14128,0.000352076,0.000352076,0.000352076
71,10347.1,0.70823,0.57696,1.18393,0.90188,0.80119,0.883,0.73263,0.70641,0.58479,1.16194,0.000341077,0.000341077,0.000341077
72,10487.2,0.6957,0.56231,1.17931,0.90088,0.79365,0.87838,0.72582,0.72105,0.58739,1.16469,0.000330078,0.000330078,0.000330078
73,10627,0.69714,0.55976,1.17145,0.90615,0.80922,0.8894,0.739,0.7074,0.54615,1.15876,0.000319079,0.000319079,0.000319079
74,10767,0.68622,0.54787,1.17361,0.90483,0.80633,0.88932,0.74238,0.68481,0.56202,1.14268,0.00030808,0.00030808,0.00030808
75,10906.9,0.6835,0.54525,1.16644,0.91319,0.79784,0.88651,0.74235,0.68265,0.56758,1.1378,0.000297081,0.000297081,0.000297081
76,11046.4,0.69886,0.5541,1.17652,0.91216,0.81096,0.8948,0.74536,0.68765,0.56151,1.15129,0.000286083,0.000286083,0.000286083
77,11191.3,0.67688,0.53498,1.16535,0.87837,0.83018,0.88804,0.73274,0.69976,0.55815,1.14401,0.000275084,0.000275084,0.000275084
