epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4431.47,0.84285,0.8118,1.27239,0.84385,0.76175,0.86037,0.67929,0.7826,0.69956,1.23994,0.000660045,0.000660045,0.000660045
43,4533.87,0.83851,0.79887,1.27307,0.84867,0.7668,0.86505,0.67635,0.81788,0.70283,1.2634,0.000649046,0.000649046,0.000649046
44,4635.14,0.84486,0.80586,1.27677,0.87301,0.75331,0.85443,0.67408,0.79326,0.70333,1.24935,0.000638047,0.000638047,0.000638047
45,4736.56,0.83801,0.79626,1.2717,0.86624,0.75035,0.84809,0.67139,0.7738,0.7233,1.23326,0.000627048,0.000627048,0.000627048
46,4838.71,0.836,0.79967,1.26587,0.85879,0.80415,0.87277,0.68385,0.81386,0.65762,1.24503,0.000616049,0.000616049,0.000616049
47,4940,0.83163,0.78674,1.27072,0.89067,0.73273,0.85964,0.67982,0.78378,0.69302,1.21633,0.000605051,0.000605051,0.000605051
48,5040.95,0.83765,0.77712,1.26972,0.87354,0.73036,0.85962,0.68596,0.76459,0.69769,1.20157,0.000594052,0.000594052,0.000594052
49,5144.08,0.82132,0.76839,1.25377,0.86579,0.7638,0.85387,0.6853,0.7628,0.69028,1.21069,0.000583053,0.000583053,0.000583053
50,5245.7,0.816,0.75008,1.25039,0.87852,0.81193,0.88985,0.70355,0.77132,0.63387,1.21824,0.000572054,0.000572054,0.000572054
51,5347.26,0.83112,0.76322,1.26324,0.84476,0.77803,0.8554,0.68141,0.75862,0.69693,1.20649,0.000561055,0.000561055,0.000561055
52,5446.95,0.82006,0.74021,1.25799,0.85566,0.81457,0.8839,0.70187,0.76749,0.64377,1.20373,0.000550056,0.000550056,0.000550056
53,5547.51,0.80486,0.74549,1.2469,0.86822,0.77376,0.86799,0.68747,0.78907,0.6616,1.22302,0.000539057,0.000539057,0.000539057
54,5650.4,0.81524,0.74765,1.25213,0.85232,0.79737,0.87526,0.70586,0.75039,0.63537,1.19747,0.000528058,0.000528058,0.000528058
55,5750.37,0.7905,0.7112,1.23259,0.85828,0.80674,0.88216,0.70603,0.74328,0.62877,1.21279,0.000517059,0.000517059,0.000517059
56,5851.51,0.81188,0.74183,1.24801,0.90491,0.78807,0.89021,0.71387,0.75167,0.59742,1.18826,0.00050606,0.00050606,0.00050606
57,5953.08,0.79752,0.70215,1.24024,0.86522,0.80494,0.87833,0.70142,0.7756,0.63976,1.19872,0.000495062,0.000495062,0.000495062
58,6054.4,0.79152,0.70154,1.23083,0.87733,0.7886,0.88326,0.6965,0.8036,0.63578,1.22425,0.000484063,0.000484063,0.000484063
59,6155.55,0.79967,0.71027,1.24011,0.86856,0.79135,0.87932,0.71296,0.7373,0.62796,1.18247,0.000473064,0.000473064,0.000473064
60,6256.34,0.78262,0.69351,1.22507,0.86383,0.81002,0.88115,0.71579,0.72811,0.60915,1.17215,0.000462065,0.000462065,0.000462065
61,6357.38,0.79481,0.69703,1.2392,0.88477,0.80089,0.88203,0.7113,0.73619,0.6146,1.17633,0.000451066,0.000451066,0.000451066
62,6459.48,0.77358,0.69548,1.22448,0.88313,0.82008,0.89808,0.7202,0.76331,0.58355,1.19465,0.000440067,0.000440067,0.000440067
63,6559.17,0.78672,0.68375,1.22843,0.88694,0.81216,0.88713,0.71069,0.74942,0.60837,1.1802,0.000429068,0.000429068,0.000429068
64,6659.47,0.77362,0.67071,1.22314,0.89604,0.79392,0.88245,0.70783,0.7439,0.60603,1.17228,0.000418069,0.000418069,0.000418069
65,6760.66,0.77961,0.67468,1.22242,0.87221,0.80461,0.88802,0.71604,0.74306,0.61744,1.18172,0.00040707,0.00040707,0.00040707
66,6863.24,0.76271,0.67532,1.21355,0.88934,0.81862,0.89885,0.72656,0.72996,0.56925,1.17255,0.000396071,0.000396071,0.000396071
67,6964.79,0.76252,0.66666,1.21381,0.88064,0.80977,0.89383,0.72298,0.72403,0.59792,1.17136,0.000385073,0.000385073,0.000385073
68,7064.9,0.75965,0.65166,1.21423,0.891,0.79878,0.89124,0.71597,0.74944,0.60124,1.18521,0.000374074,0.000374074,0.000374074
69,7164.96,0.76047,0.64725,1.21052,0.90968,0.80479,0.89027,0.72001,0.72413,0.59932,1.16134,0.000363075,0.000363075,0.000363075
70,7267.02,0.75532,0.63442,1.20463,0.88784,0.83185,0.90184,0.72772,0.74728,0.5634,1.17801,0.000352076,0.000352076,0.000352076
71,7367.47,0.75549,0.64142,1.21147,0.89377,0.82593,0.89904,0.72956,0.72748,0.5697,1.17176,0.000341077,0.000341077,0.000341077
72,7468.46,0.74874,0.62894,1.21005,0.8959,0.82434,0.90022,0.72701,0.73778,0.58042,1.17349,0.000330078,0.000330078,0.000330078
73,7570.25,0.75337,0.63131,1.20155,0.90293,0.8304,0.90521,0.73422,0.7225,0.56183,1.16603,0.000319079,0.000319079,0.000319079
74,7672.01,0.73742,0.62433,1.20229,0.86416,0.85588,0.90423,0.72894,0.74551,0.56673,1.18231,0.00030808,0.00030808,0.00030808
75,7771.98,0.7375,0.6263,1.19469,0.91114,0.81543,0.90018,0.72838,0.72616,0.5566,1.16125,0.000297081,0.000297081,0.000297081
