epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5233.83,0.8317,0.91148,1.32196,0.86188,0.76762,0.83644,0.60335,0.96237,0.82427,1.47032,0.000417223,0.000417223,0.000417223
43,5359.22,0.82356,0.87953,1.31566,0.86302,0.75662,0.84088,0.61245,0.98703,0.80988,1.50788,0.000400302,0.000400302,0.000400302
44,5486.18,0.82939,0.88311,1.3153,0.8466,0.77832,0.83702,0.5956,1.01305,0.82621,1.52861,0.00038338,0.00038338,0.00038338
45,5609.83,0.81748,0.87841,1.30737,0.89019,0.76563,0.84794,0.60803,1.0068,0.79133,1.51878,0.000366459,0.000366459,0.000366459
46,5734.4,0.81525,0.857,1.30863,0.86174,0.76206,0.83613,0.5942,1.01948,0.80951,1.53577,0.000349538,0.000349538,0.000349538
47,5859.13,0.81166,0.84407,1.29935,0.85215,0.75703,0.84003,0.59796,1.00596,0.81364,1.51664,0.000332616,0.000332616,0.000332616
48,5985.32,0.8083,0.83817,1.29989,0.85129,0.76596,0.8366,0.5848,1.05157,0.82622,1.5729,0.000315695,0.000315695,0.000315695
49,6111.29,0.80278,0.82322,1.3037,0.86053,0.78265,0.8473,0.6014,0.99416,0.80339,1.50413,0.000298774,0.000298774,0.000298774
50,6237.45,0.79396,0.81978,1.29185,0.86828,0.78382,0.84257,0.59906,1.00221,0.79477,1.50959,0.000281852,0.000281852,0.000281852
51,6360.49,0.78829,0.80798,1.28595,0.87423,0.78868,0.84905,0.61286,0.97932,0.77555,1.48645,0.000264931,0.000264931,0.000264931
52,6486.14,0.78878,0.80508,1.28642,0.88001,0.76931,0.842,0.61063,0.97151,0.77544,1.48825,0.000248009,0.000248009,0.000248009
53,6611.66,0.7848,0.80055,1.28523,0.83844,0.78992,0.8408,0.60403,0.98982,0.78501,1.5095,0.000231088,0.000231088,0.000231088
54,6735.96,0.77848,0.78066,1.27644,0.85847,0.77958,0.84698,0.61371,0.97686,0.78216,1.50069,0.000214167,0.000214167,0.000214167
55,6861.15,0.77515,0.77641,1.27427,0.87436,0.77388,0.84417,0.61102,0.98796,0.76925,1.50053,0.000197245,0.000197245,0.000197245
56,6981.75,0.73074,0.62555,1.32721,0.88811,0.76843,0.84482,0.60991,0.9869,0.78403,1.51403,0.000180324,0.000180324,0.000180324
57,7100.66,0.70988,0.58889,1.29736,0.87357,0.7701,0.8393,0.60813,0.97253,0.77573,1.51085,0.000163402,0.000163402,0.000163402
58,7219.67,0.70159,0.56865,1.29937,0.87361,0.77799,0.83099,0.60589,0.97596,0.7836,1.51292,0.000146481,0.000146481,0.000146481
59,7337.92,0.68636,0.5545,1.27785,0.87312,0.7952,0.84311,0.6144,0.96518,0.76195,1.5079,0.00012956,0.00012956,0.00012956
60,7464.61,0.68066,0.54573,1.27719,0.88519,0.77214,0.84328,0.61456,0.96226,0.77526,1.50868,0.000112638,0.000112638,0.000112638
61,7588.05,0.67199,0.53405,1.26833,0.89441,0.7664,0.84733,0.61452,0.96011,0.76095,1.51045,9.57169e-05,9.57169e-05,9.57169e-05
62,7709.07,0.66567,0.52725,1.26588,0.88534,0.76934,0.83924,0.60976,0.97282,0.77641,1.5219,7.87955e-05,7.87955e-05,7.87955e-05
63,7828.8,0.65688,0.52408,1.25869,0.88046,0.77064,0.84006,0.61145,0.97151,0.77671,1.52569,6.18742e-05,6.18742e-05,6.18742e-05
64,7947.9,0.65475,0.5178,1.25785,0.89506,0.7616,0.83779,0.61467,0.96491,0.76931,1.52086,4.49528e-05,4.49528e-05,4.49528e-05
65,8067.6,0.64851,0.50913,1.24625,0.90095,0.76168,0.83868,0.61684,0.96368,0.76256,1.51948,2.80314e-05,2.80314e-05,2.80314e-05
