epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6243.9,0.78404,0.75699,1.2807,0.88849,0.73646,0.83832,0.66152,0.79989,0.67664,1.2437,0.000547306,0.000547306,0.000547306
43,6390.94,0.77434,0.73753,1.27152,0.88065,0.74621,0.8314,0.65724,0.80852,0.67608,1.25169,0.000533558,0.000533558,0.000533558
44,6536.47,0.77618,0.74316,1.27229,0.88257,0.7579,0.83612,0.66053,0.80912,0.67729,1.24667,0.000519809,0.000519809,0.000519809
45,6682.15,0.7772,0.73243,1.26475,0.88104,0.75589,0.8377,0.66705,0.80294,0.69567,1.23588,0.00050606,0.00050606,0.00050606
46,6829.52,0.77082,0.72941,1.26709,0.88092,0.74811,0.8343,0.65865,0.80522,0.67682,1.25001,0.000492312,0.000492312,0.000492312
47,6973.97,0.7715,0.71644,1.26052,0.8619,0.75812,0.83479,0.66679,0.7738,0.67798,1.22021,0.000478563,0.000478563,0.000478563
48,7122.27,0.75516,0.70423,1.25109,0.85077,0.74669,0.82675,0.65999,0.78309,0.68409,1.22652,0.000464815,0.000464815,0.000464815
49,7267.3,0.75708,0.70861,1.25503,0.89641,0.74969,0.83566,0.66468,0.79655,0.67487,1.2415,0.000451066,0.000451066,0.000451066
50,7410.36,0.74256,0.68083,1.24601,0.88403,0.7499,0.84113,0.6671,0.79623,0.67045,1.24261,0.000437317,0.000437317,0.000437317
51,7557.76,0.73843,0.67484,1.24461,0.8755,0.75321,0.83681,0.66723,0.79898,0.66,1.24475,0.000423569,0.000423569,0.000423569
52,7709.14,0.74806,0.68204,1.24438,0.86089,0.76483,0.83066,0.66259,0.78239,0.66767,1.22789,0.00040982,0.00040982,0.00040982
53,7856.3,0.74614,0.68026,1.24219,0.87552,0.74992,0.82977,0.65826,0.80568,0.67975,1.24549,0.000396071,0.000396071,0.000396071
