epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12473.5,0.75197,0.7593,1.19693,0.8063,0.66092,0.75914,0.57836,0.87208,0.87938,1.24017,0.00029705,0.00029705,0.00029705
43,12915.9,0.75585,0.7527,1.19689,0.78566,0.67978,0.75875,0.57683,0.88038,0.88222,1.2456,0.0002921,0.0002921,0.0002921
44,13136.9,0.74354,0.74869,1.19179,0.79801,0.66881,0.75589,0.57693,0.87879,0.88965,1.24581,0.00028715,0.00028715,0.00028715
45,13369.1,0.74482,0.73942,1.18778,0.79403,0.66941,0.75553,0.57684,0.87705,0.88667,1.24607,0.0002822,0.0002822,0.0002822
46,13589.9,0.74262,0.73582,1.18689,0.77858,0.67888,0.75432,0.57476,0.88235,0.88981,1.25237,0.00027725,0.00027725,0.00027725
47,13811.4,0.73416,0.72549,1.18134,0.79468,0.66873,0.75448,0.57661,0.87894,0.8899,1.25092,0.0002723,0.0002723,0.0002723
48,14032,0.73161,0.71905,1.17965,0.80135,0.6677,0.75485,0.5767,0.87889,0.88861,1.25288,0.00026735,0.00026735,0.00026735
49,14252.6,0.72623,0.71189,1.17674,0.80747,0.66811,0.75461,0.57524,0.87891,0.88553,1.25552,0.0002624,0.0002624,0.0002624
50,14525.1,0.72024,0.70135,1.17014,0.80422,0.67197,0.75465,0.5735,0.88525,0.88519,1.26316,0.00025745,0.00025745,0.00025745
51,14746.1,0.71673,0.69781,1.16775,0.79692,0.67723,0.75681,0.57446,0.88533,0.88301,1.2654,0.0002525,0.0002525,0.0002525
52,14967,0.71632,0.69821,1.16787,0.80924,0.66936,0.75745,0.57497,0.88416,0.88225,1.26426,0.00024755,0.00024755,0.00024755
53,15188.9,0.71254,0.69181,1.16411,0.8083,0.66984,0.7569,0.57502,0.88623,0.8872,1.26609,0.0002426,0.0002426,0.0002426
54,15409.5,0.70623,0.68824,1.16167,0.81273,0.66715,0.75799,0.57546,0.88775,0.88657,1.2691,0.00023765,0.00023765,0.00023765
55,15630.5,0.70251,0.6837,1.15931,0.81413,0.668,0.75829,0.57562,0.88758,0.88596,1.27015,0.0002327,0.0002327,0.0002327
56,15851.7,0.69892,0.66871,1.15667,0.80956,0.67027,0.7581,0.57497,0.89081,0.88758,1.27585,0.00022775,0.00022775,0.00022775
57,16073.8,0.69544,0.66913,1.15427,0.81061,0.67019,0.75821,0.57465,0.89308,0.88802,1.27967,0.0002228,0.0002228,0.0002228
